Семейство двудольных растений - трав, реже полукустарников, кустарников и деревьев, к которым относятся плакун-трава, индийская сирень, розовое дерево и т.п.|дербенниковые
Группа болезнетворных грибков, паразитирующих в коже, волосах, ногтях человека и животных и вызывающих грибковые заболевания (дерматомикозы).|дерматомицеты
Общее название ряда методов (магнитного, ультразвукового, рентгеновского и т.п.), применяемых для обнаружения невидимых глазом дефектов в материалах, изделиях.|дефектоскопия
Аппарат, применяемый для устранения фибрилляции сердечной мышцы путем воздействия на нее кратковременным мощным электрическим импульсом.|дефибриллятор
Устранение фибрилляции сердечной мышцы путем воздействия на нее кратковременным мощным электрическим импульсом (в медицине).|дефибрилляция
Раздел лингвистики, в котором изучаются диалекты.|диалектология
Намеренное ограничение или лишение прав, преимуществ лиц, организаций или государств по признакам расы, национальности, государственной принадлежности, имущественного положения, политических или религиозных убеждений и т.п.|дискриминация
Помещение для работы диспетчера, диспетчеров.|диспетчерская
Переход простого гласного звука в дифтонг (в лингвистике).|дифтонгизация
Слепое, педантичное следование определенной доктрине.|доктринерство
Достоверное отображение подлинных фактов, событий и т.п. в литературе, кинематографии.|документализм
Способность к продолжительному терпению.|долготерпение
Строение черепа, при котором продольный размер (от основания носа к затылочному бугорку) значительно превышает поперечный (в антропологии).|долихоцефалия
Строительство домен.|домностроение
Предполагаемая возможность, вероятность.|допускаемость
Дорогое ювелирное изделие.|драгоценность
Предмет высокой ценности.|драгоценность
Религиозное движение духоборов.|духоборчество
Аппаратура, служащая для создания дымовой завесы.|дымаппаратура
Устройство для образования дыма в коптильных камерах.|дымогенератор
Устройство для очистки дымовых газов от твердых частиц.|дымоуловитель
Принцип наследования власти, в соответствии с которым престол передается старшему сыну.|единонаследие
Порядок наследования недвижимого имущества, в соответствии с которым оно после смерти отца или матери переходит к старшему сыну (помимо прочих наследников).|единонаследие
Жестокость, безжалостность, бессердечие.|жестокосердие
Описание жизни; биография.|жизнеописание
Восприятие жизни, окружающей действительности.|жизнеощущение
Машина для дробления жмыхов.|жмыходробилка
Заполненность грузом, пассажирами.|загруженность
Угнетенность, забитость.|задавленность
Наличие долга, долгов.|задолженность
Не сданный в срок экзамен, зачет.|задолженность
Преподаватель закона Божьего в школе (в Российском государстве до 1917 г.).|законоучитель
Подверженность замерзанию.|замерзаемость
Общественное течение в Российском государстве в 40-50-х годах XIX в., сторонники которого выступали за развитие России по западноевропейскому пути.|западничество
Подверженность затоплению.|затопляемость
Добывание на охоте зверя, птицы травлей.|затравливание
Пленка, пластинка и т.п. с записанной речью, музыкой.|звуконоситель
Лицо или организация, владеющие землей на определенных правовых основаниях.|землевладелец
Владение землей на определенных правовых основаниях.|землевладение
Участок земли находящийся в владении.|землевладение
Организатор и участник походов в Сибирь и на Дальний Восток (на Руси XVI-XVII вв.).|землепроходец
Землечерпательная машина.|землечерпалка
Выемка грунта со дна рек, каналов и т.п.|землечерпание
Машина для дробления и плющения зерна.|зернодробилка
Машина для плющения зерна.|зерноплющилка
Приспособление для улавливания золы.|золоуловитель
Раздел психологии, в котором изучается психика животных; психология животных.|зоопсихология
Приспособление для держания иглы.|иглодержатель
Измененная, болезненная чувствительность организма к некоторым веществам или воздействиям (в медицине).|идиосинкразия
Положение иждивенца, иждивенки.|иждивенчество
Занятие извозом.|извозничество
Создание условий для обеспечения неподвижности части тела при повреждениях и заболеваниях (в медицине).|иммобилизация
Предупреждение и лечение инфекционных и некоторых других заболеваний путем проведения иммунизации.|иммунотерапия
Звание, титул императора, императрицы.|императорство
Направление в искусстве последней трети XIX в.-начала XX в., основанное на стремлении отразить реальный мир в его подвижности, изменчивости и запечатлеть собственные ощущения художника, композитора и т.п.|импрессионизм
Способность паразитов, возбудителей инфекционных болезней внедряться в организм человека, животного и растения.|инвазионность
Философская концепция, отрицающая объективную закономерность и причинную обусловленность явлений в природе и обществе.|индетерминизм
Нравственный принцип, согласно которому интересы отдельной личности, индивидуума, противопоставляются интересам коллектива, общества.|индивидуализм
Стремление к выражению своей индивидуальности, противопоставлению себя коллективу.|индивидуализм
Поведение, выражающее стремление к выражению своей индивидуальности, противопоставлению себя коллективу.|индивидуализм
Народы Европы, Передней Азии, Индостана, говорящие на родственных языках.|индоевропейцы
Физическая величина, характеризующая магнитные свойства электрических цепей.|индуктивность
Предполагаемый житель других планет.|инопланетянин
Автор инсценировки.|инсценировщик
Социальная группа лиц, профессионально занимающихся умственным - преимущественно сложным и творческим - трудом, развитием и распространением образования и культуры и отличающихся высотой духовно-нравственных устремлений, обостренным чувством долга и чести.|интеллигенция
Международное объединение.|интернационал
Международный пролетарский гимн.|интернационал
Запрос депутата в парламенте, требующий ответа.|интерпелляция
Физическое явление, наблюдаемое при сложении волн (световых, звуковых и т.п.), - усиление волн в одних точках пространства и ослабление в других.|интерференция
Измерительный прибор, основанный на явлении интерференции.|интерферометр
Идеалистическое течение в философии, признающее иррациональный характер действительности и отрицающее или ограничивающее возможности разума в процессе познания, противопоставляя ему инстинкт, чувство, веру и т.п.|иррационализм
Устройство, устанавливаемое на дымовых трубах, промышленных печах и т.п., препятствующее выносу в атмосферу раскаленных частиц топлива.|искрогаситель
Совокупность исторических исследований, относящихся к периоду или проблеме.|историография
Научная дисциплина, изучающая развитие исторических знаний и исторические источники.|историография
Использованность, израсходованность в полном объеме, с предельной полнотой.|исчерпанность
Пристрастие к итальянской музыке.|итальяномания
Накопление паевых взносов.|паенакопление
Смягчение согласных путем добавочного участия в их артикуляции средней части спинки языка, поднимаемой к небу (в лингвистике).|палатализация
Раздел палеонтологии, изучающий растения прошедших геологических эпох.|палеоботаника
Раздел палеонтологии, изучающий ископаемых животных.|палеозоология
Научная дисциплина, изучающая растительный и животный мир прошедших геологических эпох.|палеонтология
Путешествие к святым местам для поклонения, получившее широкое распространение среди верующих в христианской, мусульманской и т.п. религиях.|паломничество
Описание путешествий паломника.|паломничество
Животные, которые при ходьбе опираются не на всю ступню, а только на пальцы.|пальцеходящие
Аспект исследования языка, заключающийся в изучении отношений единиц языковой системы.|парадигматика
Комплексная научная дисциплина, изучающая явления паразитизма и самих паразитов разрабатывающая методы охраны здоровья человека и животного и средства защиты растений.|паразитология
Совокупность паразитов обитающих в органе или во всем организме человека или животного.|паразитоценоз
Совокупность магнитных свойств тел, имеющих положительную магнитную восприимчивость.|парамагнетизм
Слабомагнитные тела, к которым относятся некоторые газы и металлы.|парамагнетики
Член парламента.|парламентарий
Отряд травоядных млекопитающих, имеющих в копыте два одинаково развитых пальца.|парнокопытные
Паровой котел.|парогенератор
Стремление отдельных частей государства к обособлению, к неприкосновенности местных, частных прав, привилегий.|партикуляризм
Введение системы паспортов для населения.|паспортизация
Составление документов с основными сведениями, описанием машин, предметов хозяйственного оборудования и т.п.|паспортизация
Система церковного управления во главе с патриархом.|патриаршество
Пребывание в сане патриарха.|патриаршество
Класс беспозвоночных животных типа членистоногих.|паукообразные
Ученик первого класса.|первоклассник
Способность перевариваться.|переваримость
Механизм для перегрузки.|перегружатель
Аппарат, с помощью которого осуществляется переключение.|переключатель
Механизм, служащий для регулирования поступления, продвижения.|перекрыватель
Переданная другому страховому учреждению часть страховой ответственности.|перестраховка
Сильная усталость, утомленность.|переутомление
Ухудшение состояния здоровья вследствие чрезмерной работы, постоянного нервного напряжения.|переутомление
Повторяемость явления или действия через определенные промежутки времени.|периодичность
Ритмические сокращения стенок полых органов (пищевода, желудка, кишок), при посредстве которых осуществляется продвижение пищевых масс.|перистальтика
Семейство жуков с перистым строением крыльев и с бахромой из волосков на них; перистокрылые.|перистокрылки
Дневная бабочка семейства нимфалид с серебристыми или перламутровыми пятнами, крапинками на нижней стороне крыльев.|перламутровка
Прямая линия, пересекающая данную прямую под прямым углом (в 90 градусов).|перпендикуляр
Древесные материалы, получаемые в результате пилки.|пиломатериалы
Руководитель пионерского отряда, пионерской дружины (в СССР и некоторых других странах).|пионервожатый
Занятие, поведение плагиатора.|плагиаторство
Плакировочная мастерская.|плакировальня
Устройство, прибор для гашения пламени.|пламегаситель
Вещество, устраняющее пламя при вспышке горючих смесей.|пламегаситель
Деятельность плантатора.|плантаторство
Сосуд для сплевывания слюны, мокроты.|плевательница
Изгнание, уничтожение зародыша, плода.|плодоизгнание
Изображение в одной плоскости.|плоскостность
Нахождение в одной плоскости.|плоскостность
Рассказ о о событии.|повествование
Семейство двудольных раздельнолепестных растений.|повойничковые
Движение повстанцев.|повстанчество
Способность повторяться; регулярное повторение.|повторяемость
Способность поглощать.|поглощаемость
Белый воротничок, прикрепляемый снизу под стоячий воротничок форменной одежды.|подворотничок
Выражение преданности и смирения, признание власти над собой.|подданичество
Столик, доска под стенным зеркалом или трюмо.|подзеркальник
Прибор для подогревания.|подогреватель
Часть, раздел, входящий в состав более крупной единицы.|подразделение
Войсковая единица меньше полка или отдельного батальона, дивизиона и т.п., входящая в состав воинской части.|подразделение
Сорное однолетнее растение.|подсвекольник
Дополнительное освещение.|подсвечивание
Дар, взнос, сделанный в пользу лица или учреждения.|пожертвование
Возможность познания.|познаваемость
Процесс образования полимеров.|полимеризация
Инструмент для полирования в виде гладкого бруска стали.|полировальник
Поведение и деятельность политикана.|политиканство
Растение с древесными нижними и травянистыми верхними частями.|полукустарник
Неполное, неясно выраженное признание.|полупризнание
Вещество, которое по своей способности проводить электричество занимает промежуточное положение между проводниками и изоляторами.|полупроводник
Особо точные часы.|полухронометр
Скрываемое намерение, желание.|поползновение
Притязание на требование.|поползновение
Политика, направленная на поражение.|пораженчество
Поведение, поступки, приводящие к поражению.|пораженчество
Деятельность посадника.|посадничество
Явление, состоящее в том, что действие на обнаруживается не только в момент применения, но и в последующий период.|последействие
Акт высших органов государственной власти.|постановление
Коллективное решение, резолюция.|постановление
Процесс отделения у млекопитающих пота специальными потовыми железами, расположенными на различных участках кожи.|потоотделение
Любовь к поучениям, назиданию; желание поучать.|поучительство
Расположение зачатков листа, стебля или цветка в почке по отношению друг к другу.|почкосложение
Сходство с правдой.|правдоподобие
Высший исполнительный и распорядительный орган государственной власти, осуществляющий непосредственное управление государством.|правительство
Тот, кому предоставлены все или отдельные права и обязанности другого лица.|правопреемник
Совокупность правовых взглядов людей, выражающих оценку действующего права, существующего общественного и государственного строя, правомерность или неправомерность поведения граждан.|правосознание
Мать прадеда или прабабушки.|прапрабабушка
Обладание более высокими достоинствами, качествами по сравнению.|превосходство
Количественное превышение против.|превосходство
Поведение, действия предателя.|предательство
Мысленное допущение; догадка, соображение о возможности, вероятности.|предположение
Лицо, действующее по поручению представляющее интересы.|представитель
Выразитель, защитник идеи, взглядов, интересов и т.п.|представитель
Официальное письменное заявление, доклад в вышестоящую инстанцию, содержащие ходатайство.|представление
Сценическое зрелище, спектакль.|представление
Чувственно-наглядный образ явлений внешнего мира, являющийся результатом обобщения отдельных восприятий (в психологии).|представление
Понимание знание о основанное на опыте.|представление
Изначально предвзятое мнение.|предубеждение
Уже сложившееся мнение, убеждение.|предубеждение
